StrikerName,battingtype,4s,6s,batwkts,PaceOrSpin,1s,2s,3s,0s,x,y
Laurie Evans,RHB,0,0,0,2,1,0,0,0,262,364
Jos Buttler,RHB,0,0,0,2,0,1,0,0,291,381
Jos Buttler,RHB,0,1,0,2,0,0,0,0,301,376
Laurie Evans,RHB,0,0,0,1,1,0,0,0,279,335
Jos Buttler,RHB,0,0,0,1,1,0,0,0,161,378
Laurie Evans,RHB,0,0,0,1,1,0,0,0,245,331
Jos Buttler,RHB,0,0,0,1,0,1,0,0,261,346
Jos Buttler,RHB,0,0,0,1,1,0,0,0,308,340
Laurie Evans,RHB,0,0,0,1,0,0,0,1,305,367
Laurie Evans,RHB,0,0,0,1,1,0,0,0,305,391
Jos Buttler,RHB,0,0,1,1,1,0,0,0,267,375
Jamie Overton,RHB,0,0,0,1,1,0,0,0,275,357
Laurie Evans,RHB,1,0,0,1,0,0,0,0,250,393
Laurie Evans,RHB,0,1,0,1,0,0,0,0,277,321
Laurie Evans,RHB,0,0,0,1,0,0,0,1,298,349
Laurie Evans,RHB,0,0,0,1,0,1,0,0,277,334
Laurie Evans,RHB,0,0,0,1,1,0,0,0,340,330
Jamie Overton,RHB,0,1,0,1,0,0,0,0,269,379
